fact_id,country_id,year,rural_population,urban_population,population_male,population_female,created_at,updated_at
44,2,2002,1762229.0,1356800.0,1548482.0,1575069.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
45,2,2003,1724344.0,1386661.0,1534566.0,1558425.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
46,2,2004,1683584.0,1414163.0,1521272.0,1541351.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
47,2,2005,1640246.0,1438933.0,1508427.0,1524207.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
48,2,2006,1593892.0,1460439.0,1496029.0,1507358.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
49,2,2007,1545166.0,1478741.0,1484648.0,1491436.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
50,2,2008,1496108.0,1495543.0,1474662.0,1477027.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
51,2,2009,1449427.0,1513208.0,1466053.0,1464488.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
52,2,2010,1406665.0,1533860.0,1459102.0,1454297.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
53,2,2011,1368297.0,1558362.0,1453895.0,1446759.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
54,2,2012,1333585.0,1586454.0,1450370.0,1441822.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
55,2,2013,1302236.0,1616742.0,1448110.0,1438905.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
56,2,2014,1272790.0,1647985.0,1446732.0,1437370.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
57,2,2015,1244341.0,1679011.0,1445782.0,1436698.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
58,2,2016,1216737.0,1709611.0,1444664.0,1436399.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
59,2,2017,1190155.0,1740032.0,1443175.0,1436180.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
