country_id,country_name,iso3,region,created_at,updated_at
66,Ecuador,ECU,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
67,Egypt,EGY,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
68,El Salvador,SLV,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
69,Equatorial Guinea,GNQ,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
70,Eritrea,ERI,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
71,Estonia,EST,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
72,Eswatini,SWZ,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
73,Ethiopia,ETH,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
74,Ethiopia PDR,ETH,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
75,Falkland Islands (Malvinas),FLK,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
76,Faroe Islands,FRO,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
77,Fiji,FJI,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
78,Finland,FIN,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
79,France,FRA,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
80,French Polynesia,PYF,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
81,Gabon,GAB,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
82,Gambia,GMB,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
83,Georgia,GEO,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
84,Germany,DEU,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
85,Ghana,GHA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
86,Greece,GRC,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
87,Greenland,GRL,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
88,Grenada,GRD,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
89,Guadeloupe,GLP,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
90,Guam,GUM,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
91,Guatemala,GTM,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
92,Guinea,GIN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
93,Guinea-Bissau,GNB,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
94,Guyana,GUY,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
95,Haiti,HTI,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
96,Holy See,VAT,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
97,Honduras,HND,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
98,Hungary,HUN,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
99,Isle of Man,IMN,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
100,Iceland,ISL,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
101,India,IND,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
102,Indonesia,IDN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
103,Iran (Islamic Republic of),IRN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
104,Iraq,IRQ,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
105,Ireland,IRL,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
106,Israel,ISR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
107,Italy,ITA,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
108,Jamaica,JAM,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
109,Japan,JPN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
110,Jordan,JOR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
111,Kazakhstan,KAZ,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
112,Kenya,KEN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
113,Kiribati,KIR,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
114,Kuwait,KWT,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
115,Kyrgyzstan,KGZ,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
116,Lao People's Democratic Republic,LAO,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
117,Latvia,LVA,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
118,Lebanon,LBN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
119,Lesotho,LSO,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
120,Liberia,LBR,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
121,Libya,LBY,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
122,Liechtenstein,LIE,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
123,Lithuania,LTU,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
124,Luxembourg,LUX,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
125,Madagascar,MDG,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
126,Malawi,MWI,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
127,Malaysia,MYS,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
128,Mayotte,MYT,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
129,Maldives,MDV,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
130,Mali,MLI,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
131,Malta,MLT,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
132,Marshall Islands,MHL,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
133,Martinique,MTQ,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
134,Mauritania,MRT,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
135,Mauritius,MUS,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
136,Mexico,MEX,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
137,Micronesia (Federated States of),FSM,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
138,Monaco,MCO,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
139,Mongolia,MNG,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
140,Montenegro,MNE,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
141,Montserrat,MSR,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
142,Morocco,MAR,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
143,Mozambique,MOZ,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
144,Myanmar,MMR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
145,Namibia,NAM,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
146,Nauru,NRU,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
147,Nepal,NPL,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
148,Netherlands (Kingdom of the),NLD,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
149,Netherlands Antilles (former),NLD,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
150,New Caledonia,NCL,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
151,New Zealand,NZL,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
152,Nicaragua,NIC,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
153,Niger,NER,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
154,Nigeria,NGA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
155,Niue,NIU,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
156,North Macedonia,MKD,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
157,Northern Mariana Islands,MNP,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
158,Norway,NOR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
159,Oman,OMN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
160,Pacific Islands Trust Territory,,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
161,Pakistan,PAK,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
162,Palau,PLW,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
163,Palestine,PSE,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
164,Panama,PAN,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
165,Papua New Guinea,PNG,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
166,San Marino,SMR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
167,Paraguay,PRY,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
168,Peru,PER,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
169,Philippines,PHL,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
170,Poland,POL,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
171,Portugal,PRT,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
172,Puerto Rico,PRI,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
173,Qatar,QAT,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
174,Republic of Korea,KOR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
175,Republic of Moldova,MDA,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
176,Romania,ROU,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
177,Russian Federation,RUS,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
178,Rwanda,RWA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
179,"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
180,Saint Kitts and Nevis,KNA,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
181,Saint Lucia,LCA,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
182,Saint Pierre and Miquelon,SPM,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
183,Saint Vincent and the Grenadines,VCT,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
184,Samoa,WSM,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
185,Sao Tome and Principe,STP,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
186,Saudi Arabia,SAU,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
187,Senegal,SEN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
188,Serbia,SRB,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
189,Serbia and Montenegro,SRB,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
190,Seychelles,SYC,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
191,Sierra Leone,SLE,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
192,Singapore,SGP,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
193,Slovakia,SVK,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
194,Slovenia,SVN,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
195,Solomon Islands,SLB,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
196,Somalia,SOM,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
197,South Africa,ZAF,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
198,South Sudan,SSD,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
199,Spain,ESP,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
